Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
1072850,1072300,1085700,1082900,10850,1.01%,2025/09/25,1404/07/03
1047200,1047200,1075700,1072050,37150,3.59%,2025/09/24,1404/07/02
1041100,1025200,1042100,1034900,5100,0.49%,2025/09/23,1404/07/01
1063100,1037200,1063100,1040000,18600,1.79%,2025/09/22,1404/06/31
1027100,1026700,1058600,1058600,32500,3.17%,2025/09/21,1404/06/30
1006100,1005700,1033100,1026100,37650,3.81%,2025/09/20,1404/06/29
992700,987200,993100,988450,3900,0.39%,2025/09/18,1404/06/27
996000,1000000,999950,992350,4100,0.41%,2025/09/17,1404/06/26
992000,1000000,999950,996450,3900,0.39%,2025/09/16,1404/06/25
981000,980700,998100,992550,12750,1.3%,2025/09/15,1404/06/24
978100,977700,988100,979800,2950,0.3%,2025/09/14,1404/06/23
992000,975700,992100,976850,16150,1.65%,2025/09/13,1404/06/22
990250,990200,996600,993000,15300,1.54%,2025/09/11,1404/06/20
1005950,1000000,999950,1008300,2700,0.27%,2025/09/09,1404/06/18
1025700,1010700,1026600,1011000,15800,1.56%,2025/09/08,1404/06/17
1027100,1023700,1032100,1026800,3000,0.29%,2025/09/07,1404/06/16
1012100,1011700,1034100,1029800,15400,1.52%,2025/09/06,1404/06/15
1023900,1014300,1024200,1014400,11300,1.11%,2025/09/04,1404/06/13
1032700,1023800,1032700,1025700,6300,0.61%,2025/09/03,1404/06/12
1055700,1031300,1056700,1032000,16300,1.58%,2025/09/02,1404/06/11
1024900,1024300,1049200,1048300,22100,2.15%,2025/08/31,1404/06/09
1003700,999700,1026200,1026200,37200,3.76%,2025/08/30,1404/06/08
1000000,999500,1002000,989000,11000,1.11%,2025/08/28,1404/06/06
999950,976350,1004500,1000000,33500,3.47%,2025/08/27,1404/06/05
959100,958700,967100,966500,8500,0.89%,2025/08/26,1404/06/04
947700,947700,959100,958000,17000,1.81%,2025/08/25,1404/06/03
935600,933700,942100,941000,9600,1.02%,2025/08/23,1404/06/01
939950,939700,951100,950600,13100,1.4%,2025/08/21,1404/05/30
934400,934200,940100,937500,4050,0.43%,2025/08/20,1404/05/29
938050,932700,938100,933450,5050,0.54%,2025/08/19,1404/05/28
934250,934200,938600,938500,5600,0.6%,2025/08/18,1404/05/27
927300,927200,935100,932900,5300,0.57%,2025/08/17,1404/05/26
933050,927200,934100,927600,9100,0.98%,2025/08/16,1404/05/25
924700,924700,937100,936700,11800,1.28%,2025/08/13,1404/05/22
930500,924200,930600,924900,7850,0.85%,2025/08/12,1404/05/21
920800,920700,934600,932750,12750,1.39%,2025/08/11,1404/05/20
917600,915300,921600,920000,1700,0.19%,2025/08/10,1404/05/19
933250,917200,933600,918300,16200,1.76%,2025/08/09,1404/05/18
929050,928700,935100,934500,4900,0.53%,2025/08/06,1404/05/15
933050,928200,935050,929600,4500,0.48%,2025/08/05,1404/05/14
937500,931200,949100,934100,3900,0.42%,2025/08/04,1404/05/13
924300,923700,938100,938000,14000,1.52%,2025/08/03,1404/05/12
912450,912200,927600,924000,12200,1.34%,2025/08/02,1404/05/11
905400,904700,912600,911800,6200,0.68%,2025/08/01,1404/05/10
896100,895700,908850,905600,9600,1.07%,2025/07/30,1404/05/08
892100,891800,896100,896000,3500,0.39%,2025/07/29,1404/05/07
892350,891700,895600,892500,450,0.05%,2025/07/28,1404/05/06
881500,881200,893600,892050,12050,1.37%,2025/07/27,1404/05/05
880800,876700,881100,880000,500,0.06%,2025/07/26,1404/05/04
884000,879200,889600,880500,3900,0.44%,2025/07/25,1404/05/03
880900,880100,884500,884400,4500,0.51%,2025/07/23,1404/05/01
882200,879600,883000,879900,1200,0.14%,2025/07/22,1404/04/31
879400,879100,887000,881100,2150,0.24%,2025/07/21,1404/04/30
868000,867600,882500,878950,11350,1.31%,2025/07/20,1404/04/29
874800,867600,876500,867600,8000,0.92%,2025/07/19,1404/04/28
887000,875400,887000,875600,11800,1.35%,2025/07/18,1404/04/27
888500,885100,888500,887400,1000,0.11%,2025/07/16,1404/04/25
886200,886100,889500,888400,3500,0.4%,2025/07/15,1404/04/24
891000,890900,901000,894200,5200,0.58%,2025/07/14,1404/04/23
871600,871600,891400,889000,18100,2.08%,2025/07/12,1404/04/21
880150,869600,880500,870900,11950,1.37%,2025/07/11,1404/04/20
878500,876700,883000,882850,4550,0.52%,2025/07/09,1404/04/18
870700,870700,882000,878300,7900,0.91%,2025/07/08,1404/04/17
883500,864600,883500,870400,13300,1.53%,2025/07/07,1404/04/16
906500,883700,906500,883700,32300,3.66%,2025/07/06,1404/04/15
915800,913600,924500,916000,2100,0.23%,2025/07/02,1404/04/11
917400,902100,917400,913900,3300,0.36%,2025/07/01,1404/04/10
918450,917200,928000,917200,10250,1.13%,2025/06/30,1404/04/09
881800,881600,910000,906950,25750,2.92%,2025/06/29,1404/04/08
846400,846100,883500,881200,35500,4.2%,2025/06/28,1404/04/07
835900,835600,847000,845700,8900,1.06%,2025/06/27,1404/04/06
829900,829600,840000,836800,8100,0.98%,2025/06/25,1404/04/04
828600,828600,828900,828700,6650,0.8%,2025/06/24,1404/04/03
829000,828600,836000,835350,7950,0.96%,2025/06/11,1404/03/21
819400,819150,827500,827400,8300,1.01%,2025/06/10,1404/03/20
824650,819100,825000,819100,5850,0.71%,2025/06/09,1404/03/19
823450,823100,826000,824950,2100,0.26%,2025/06/08,1404/03/18
818500,818100,823000,822850,2150,0.26%,2025/06/07,1404/03/17
835500,820600,835500,820700,3150,0.38%,2025/06/06,1404/03/16
825750,823100,827000,823850,200,0.02%,2025/06/02,1404/03/12
821250,815600,824000,823650,1150,0.14%,2025/06/01,1404/03/11
825350,821100,826000,822500,4900,0.6%,2025/05/31,1404/03/10
827700,825700,830500,827400,4700,0.57%,2025/05/30,1404/03/09
824450,821100,824500,822700,4150,0.5%,2025/05/28,1404/03/07
828500,826600,829000,826850,1450,0.18%,2025/05/27,1404/03/06
