"month","avg_volatility"
"2011-11-01 00:00:00","0.0140"
"2011-12-01 00:00:00","0.0066"
"2012-01-01 00:00:00","0.0148"
"2012-02-01 00:00:00","0.0093"
"2012-03-01 00:00:00","0.0110"
"2012-04-01 00:00:00","0.0081"
"2012-05-01 00:00:00","0.0079"
"2012-06-01 00:00:00","0.0102"
"2012-07-01 00:00:00","0.0142"
"2012-08-01 00:00:00","0.0214"
"2012-09-01 00:00:00","0.0328"
"2012-10-01 00:00:00","0.0307"
"2012-11-01 00:00:00","0.0033"
"2012-12-01 00:00:00","0.0107"
"2013-01-01 00:00:00","0.0194"
"2013-02-01 00:00:00","0.0157"
"2013-03-01 00:00:00","0.0293"
"2013-04-01 00:00:00","0.0153"
"2013-05-01 00:00:00","0.0130"
"2013-06-01 00:00:00","0.0225"
"2013-07-01 00:00:00","0.0126"
"2013-08-01 00:00:00","0.0153"
"2013-09-01 00:00:00","0.0166"
"2013-10-01 00:00:00","0.0115"
"2013-11-01 00:00:00","0.0107"
"2013-12-01 00:00:00","0.0090"
"2014-01-01 00:00:00","0.0073"
"2014-02-01 00:00:00","0.0032"
"2014-03-01 00:00:00","0.0078"
"2014-04-01 00:00:00","0.0116"
"2014-05-01 00:00:00","0.0060"
"2014-06-01 00:00:00","0.0061"
"2014-07-01 00:00:00","0.0062"
"2014-08-01 00:00:00","0.0032"
"2014-09-01 00:00:00","0.0055"
"2014-10-01 00:00:00","0.0031"
"2014-11-01 00:00:00","0.0068"
"2014-12-01 00:00:00","0.0092"
"2015-01-01 00:00:00","0.0075"
"2015-02-01 00:00:00","0.0082"
"2015-03-01 00:00:00","0.0152"
"2015-04-01 00:00:00","0.0067"
"2015-05-01 00:00:00","0.0046"
"2015-06-01 00:00:00","0.0096"
"2015-07-01 00:00:00","0.0163"
"2015-08-01 00:00:00","0.0120"
"2015-09-01 00:00:00","0.0168"
"2015-10-01 00:00:00","0.0229"
"2015-11-01 00:00:00","0.0425"
"2015-12-01 00:00:00","0.0588"
"2016-01-01 00:00:00","0.0708"
"2016-02-01 00:00:00","0.0276"
"2016-03-01 00:00:00","0.0094"
"2016-04-01 00:00:00","0.0068"
"2016-05-01 00:00:00","0.0078"
"2016-06-01 00:00:00","0.0102"
"2016-07-01 00:00:00","0.0107"
"2016-08-01 00:00:00","0.0091"
"2016-09-01 00:00:00","0.0122"
"2016-10-01 00:00:00","0.0099"
"2016-11-01 00:00:00","0.0165"
"2016-12-01 00:00:00","0.0142"
"2017-01-01 00:00:00","0.0135"
"2017-02-01 00:00:00","0.0102"
"2017-03-01 00:00:00","0.0115"
"2017-04-01 00:00:00","0.0110"
"2017-05-01 00:00:00","0.0064"
"2017-06-01 00:00:00","0.0084"
"2017-07-01 00:00:00","0.0048"
"2017-08-01 00:00:00","0.0068"
"2017-09-01 00:00:00","0.0081"
"2017-10-01 00:00:00","0.0100"
"2017-11-01 00:00:00","0.0111"
"2017-12-01 00:00:00","0.0114"
"2018-01-01 00:00:00","0.0161"
"2018-02-01 00:00:00","0.0162"
"2018-03-01 00:00:00","0.0090"
"2018-04-01 00:00:00","0.0562"
"2018-05-01 00:00:00","0.0349"
"2018-06-01 00:00:00","0.0452"
"2018-07-01 00:00:00","0.0480"
"2018-08-01 00:00:00","0.0667"
"2018-09-01 00:00:00","0.0643"
"2018-10-01 00:00:00","0.0580"
"2018-11-01 00:00:00","0.0131"
"2018-12-01 00:00:00","0.0297"
"2019-01-01 00:00:00","0.0030"
"2019-02-01 00:00:00","0.0101"
"2019-03-01 00:00:00","0.0106"
"2019-04-01 00:00:00","0.0128"
"2019-05-01 00:00:00","0.0174"
"2019-06-01 00:00:00","0.0159"
"2019-07-01 00:00:00","0.0174"
"2019-08-01 00:00:00","0.0128"
"2019-09-01 00:00:00","0.0063"
"2019-10-01 00:00:00","0.0039"
"2019-11-01 00:00:00","0.0098"
"2019-12-01 00:00:00","0.0178"
"2020-01-01 00:00:00","0.0103"
"2020-02-01 00:00:00","0.0091"
"2020-03-01 00:00:00","0.0141"
"2020-04-01 00:00:00","0.0064"
"2020-05-01 00:00:00","0.0099"
"2020-06-01 00:00:00","0.0172"
"2020-07-01 00:00:00","0.0276"
"2020-08-01 00:00:00","0.0210"
"2020-09-01 00:00:00","0.0160"
"2020-10-01 00:00:00","0.0261"
"2020-11-01 00:00:00","0.0351"
"2020-12-01 00:00:00","0.0107"
"2021-01-01 00:00:00","0.0189"
"2021-02-01 00:00:00","0.0115"
"2021-03-01 00:00:00","0.0075"
"2021-04-01 00:00:00","0.0092"
"2021-05-01 00:00:00","0.0216"
"2021-06-01 00:00:00","0.0091"
"2021-07-01 00:00:00","0.0077"
"2021-08-01 00:00:00","0.0118"
"2021-09-01 00:00:00","0.0078"
"2021-10-01 00:00:00","0.0061"
"2021-11-01 00:00:00","0.0092"
"2021-12-01 00:00:00","0.0094"
"2022-01-01 00:00:00","0.0114"
"2022-02-01 00:00:00","0.0105"
"2022-03-01 00:00:00","0.0100"
"2022-04-01 00:00:00","0.0081"
"2022-05-01 00:00:00","0.0112"
"2022-06-01 00:00:00","0.0179"
"2022-07-01 00:00:00","0.0160"
"2022-08-01 00:00:00","0.0166"
"2022-09-01 00:00:00","0.0067"
"2022-10-01 00:00:00","0.0072"
"2022-11-01 00:00:00","0.0138"
"2022-12-01 00:00:00","0.0150"
"2023-01-01 00:00:00","0.0205"
"2023-02-01 00:00:00","0.0221"
"2023-03-01 00:00:00","0.0345"
"2023-04-01 00:00:00","0.0157"
"2023-05-01 00:00:00","0.0084"
"2023-06-01 00:00:00","0.0125"
"2023-07-01 00:00:00","0.0075"
"2023-08-01 00:00:00","0.0069"
"2023-09-01 00:00:00","0.0040"
"2023-10-01 00:00:00","0.0107"
"2023-11-01 00:00:00","0.0076"
"2023-12-01 00:00:00","0.0056"
"2024-01-01 00:00:00","0.0141"
"2024-02-01 00:00:00","0.0141"
"2024-03-01 00:00:00","0.0131"
"2024-04-01 00:00:00","0.0492"
"2024-05-01 00:00:00","0.0403"
"2024-06-01 00:00:00","0.0342"
"2024-07-01 00:00:00","0.0107"
"2024-08-01 00:00:00","0.0157"
"2024-09-01 00:00:00","0.0096"
"2024-10-01 00:00:00","0.0160"
"2024-11-01 00:00:00","0.0117"
"2024-12-01 00:00:00","0.0132"
"2025-01-01 00:00:00","0.0092"
"2025-02-01 00:00:00","0.0139"
"2025-03-01 00:00:00","0.0157"
"2025-04-01 00:00:00","0.0286"
"2025-05-01 00:00:00","0.0146"
"2025-06-01 00:00:00","0.0131"
"2025-07-01 00:00:00","0.0114"
"2025-08-01 00:00:00","0.0121"
"2025-09-01 00:00:00","0.0142"
